,Skill,Domain,Sub-Domain
128,Antisemitism,arts-and-humanities,history
129,Psychological Trauma,arts-and-humanities,history
130,Naturopathy,arts-and-humanities,history
131,Chinese Medicine,arts-and-humanities,history
132,Traditional Medicine,arts-and-humanities,history
133,Ethnobotany,arts-and-humanities,history
134,Ayurveda,arts-and-humanities,history
135,Herbalism,arts-and-humanities,history
136,Plant,arts-and-humanities,history
137,Healing,arts-and-humanities,history
138,Herbal,arts-and-humanities,history
139,Medicine,arts-and-humanities,history
140,Dissemination,arts-and-humanities,history
142,Scientific Method,arts-and-humanities,history
145,Historical Source,arts-and-humanities,history
146,Interpretation,arts-and-humanities,history
147,Modeling,arts-and-humanities,history
148,Case Study,arts-and-humanities,history
149,Saving,arts-and-humanities,history
151,Man,arts-and-humanities,history
152,Space Station,arts-and-humanities,history
153,Space Stations,arts-and-humanities,history
154,Portable Document Format,arts-and-humanities,history
155,Disaster,arts-and-humanities,history
156,Aerospace Engineering,arts-and-humanities,history
158,Probability Density Function,arts-and-humanities,history
159,Reading (Process),arts-and-humanities,history
160,Interior Design,arts-and-humanities,history
161,Academic Writing,arts-and-humanities,history
164,English Language,arts-and-humanities,history
165,Language,arts-and-humanities,history
167,Essay Writing,arts-and-humanities,history
168,Grammar,arts-and-humanities,history
169,Scientific Writing,arts-and-humanities,history
171,Ageing,arts-and-humanities,history
172,Middle East,arts-and-humanities,history
173,Middle Age,arts-and-humanities,history
177,Glassing,arts-and-humanities,history
179,Architecture,arts-and-humanities,history
180,Linguistics,arts-and-humanities,history
182,Pragmatics,arts-and-humanities,history
185,Education,arts-and-humanities,history
190,Gustave Le Bon,arts-and-humanities,history
192,Unos (Operating System),arts-and-humanities,history
193,Arts And Humanities,arts-and-humanities,history
199,Dominant Narrative,arts-and-humanities,history
200,Composite Artifact Colors,arts-and-humanities,history
201,Dams,arts-and-humanities,history
202,Urban Area,arts-and-humanities,history
203,Inner City,arts-and-humanities,history
206,Dam,arts-and-humanities,history
207,Urban Areas,arts-and-humanities,history
209,Human Learning,arts-and-humanities,history
214,Evolution,arts-and-humanities,history
216,Methodology,arts-and-humanities,history
217,Cultural Capital,arts-and-humanities,history
218,Desert,arts-and-humanities,history
219,Monk,arts-and-humanities,history
220,Father,arts-and-humanities,history
221,Spirituality,arts-and-humanities,history
223,Faith,arts-and-humanities,history
225,Missionary,arts-and-humanities,history
227,Anti-Western Sentiment,arts-and-humanities,history
230,Diplomatics,arts-and-humanities,history
234,Trading Blows,arts-and-humanities,history
235,Spring,arts-and-humanities,history
238,Leonardo Da Vinci,arts-and-humanities,history
249,International Relations,arts-and-humanities,history
250,Intellectual,arts-and-humanities,history
251,U.S. Securities And Exchange Commission,arts-and-humanities,history
253,Fiction Writing,arts-and-humanities,history
257,Creative Writing,arts-and-humanities,history
258,Greek Mythology,arts-and-humanities,history
259,Poetry Writing,arts-and-humanities,history
262,Mythology,arts-and-humanities,history
266,Influencing,arts-and-humanities,history
268,A Priori,arts-and-humanities,history
269,Philosophy,arts-and-humanities,history
271,Ethics,arts-and-humanities,history
274,Failure,arts-and-humanities,history
275,There Are Known Knowns,arts-and-humanities,history
277,Acceptance,arts-and-humanities,history
278,Elections,arts-and-humanities,history
279,Bias,arts-and-humanities,history
280,Emotions,arts-and-humanities,history
282,System U,arts-and-humanities,history
283,Observation,arts-and-humanities,history
285,Gratitude,arts-and-humanities,history
288,Joie De Vivre,arts-and-humanities,history
290,Referent Power,arts-and-humanities,history
292,Panopticon,arts-and-humanities,history
293,Participatory Politics,arts-and-humanities,history
294,Symbolic Interactionism,arts-and-humanities,history
295,Participatory Democracy,arts-and-humanities,history
296,Me Generation,arts-and-humanities,history
297,Generativity,arts-and-humanities,history
298,Broadcast,arts-and-humanities,history
300,Harmony,arts-and-humanities,history
301,Brand-New,arts-and-humanities,history
304,Music,arts-and-humanities,history
305,Opus (Audio Format),arts-and-humanities,history
306,Drama,arts-and-humanities,history
307,Awe,arts-and-humanities,history
308,Rubygems,arts-and-humanities,history
309,Piano,arts-and-humanities,history
312,Fortification,arts-and-humanities,history
316,Evaluation,arts-and-humanities,history
318,Dwelling,arts-and-humanities,history
320,Phonetics,arts-and-humanities,history
321,Centrality,arts-and-humanities,history
322,Denial,arts-and-humanities,history
325,Russian,arts-and-humanities,history
328,Criticism,arts-and-humanities,history
331,Agriculture,arts-and-humanities,history
332,War,arts-and-humanities,history
333,Prison,arts-and-humanities,history
337,Military,arts-and-humanities,history
339,Childhood,arts-and-humanities,history
340,Prisons,arts-and-humanities,history
344,Philology,arts-and-humanities,history
347,Right-To-Left,arts-and-humanities,history
348,Linguistic History,arts-and-humanities,history
349,History Of Linguistics,arts-and-humanities,history
350,Historiography,arts-and-humanities,history
351,Decision Rule,arts-and-humanities,history
354,Foreign Policy,arts-and-humanities,history
357,Yottabyte,arts-and-humanities,history
362,Autoregressive Conditional Heteroskedasticity,arts-and-humanities,history
364,Primary Source,arts-and-humanities,history
372,Stumbling On Happiness,arts-and-humanities,history
373,Social Psychology,arts-and-humanities,history
376,Psychology,arts-and-humanities,history
378,Altered State Of Consciousness,arts-and-humanities,history
380,The Astonishing Hypothesis,arts-and-humanities,history
381,Computational Theory Of Mind,arts-and-humanities,history
384,Parasolid,arts-and-humanities,history
385,Page Layout,arts-and-humanities,history
386,Inquiry,arts-and-humanities,history
389,Booking,arts-and-humanities,history
390,Page Design,arts-and-humanities,history
391,Decipherment,arts-and-humanities,history
394,Trading,arts-and-humanities,history
400,Golden Age,arts-and-humanities,history
401,Phonology,arts-and-humanities,history
402,Reputation,arts-and-humanities,history
403,Fundraising,arts-and-humanities,history
404,Causality,arts-and-humanities,history
405,Justice,arts-and-humanities,history
406,Lecture,arts-and-humanities,history
407,Retirement,arts-and-humanities,history
410,Resource,arts-and-humanities,history
412,Smoothing,arts-and-humanities,history
413,Anger,arts-and-humanities,history
415,Ascendency,arts-and-humanities,history
417,Hold,arts-and-humanities,history
418,Adobe Air,arts-and-humanities,history
419,Maximization (Psychology),arts-and-humanities,history
420,Therapy,arts-and-humanities,history
421,Chord,arts-and-humanities,history
426,Patriarchy,arts-and-humanities,history
427,Market (Economics),arts-and-humanities,history
429,Empowerment,arts-and-humanities,history
431,Popular Culture,arts-and-humanities,history
433,Film Studies,arts-and-humanities,history
434,Photojournalism,arts-and-humanities,history
438,Media Studies,arts-and-humanities,history
445,Orality,arts-and-humanities,history
447,Bureaucracy,arts-and-humanities,history
449,Fear,arts-and-humanities,history
450,Attractiveness,arts-and-humanities,history
451,Shamanism,arts-and-humanities,history
454,Land Law,arts-and-humanities,history
455,Common Law,arts-and-humanities,history
459,History Of Ideas,arts-and-humanities,history
460,Law,arts-and-humanities,history
462,Secure Copy,arts-and-humanities,history
463,Editorial Cartoon,arts-and-humanities,history
464,Dehumanization,arts-and-humanities,history
466,Health,arts-and-humanities,history
470,Augmented Assignment,arts-and-humanities,history
473,Rescue,arts-and-humanities,history
480,Deep History,arts-and-humanities,history
481,Popular Music,arts-and-humanities,history
485,History Of The Book,arts-and-humanities,history
486,Harem,arts-and-humanities,history
487,Hygiene,arts-and-humanities,history
492,Flourishing,arts-and-humanities,history
495,Print Media,arts-and-humanities,history
496,Social Media,arts-and-humanities,history
497,Logic,arts-and-humanities,history
498,Media Industry,arts-and-humanities,history
499,Media Psychology,arts-and-humanities,history
500,Commercialization,arts-and-humanities,history
501,Economy,arts-and-humanities,history
503,Creativity,arts-and-humanities,history
504,Intermediary,arts-and-humanities,history
507,R&D Management,arts-and-humanities,history
511,Architectural History,arts-and-humanities,history
513,Cleanliness,arts-and-humanities,history
520,Preferred Reporting Items For Systematic Reviews And Meta-Analyses,arts-and-humanities,history
521,Social Behavior,arts-and-humanities,history
523,Human Behavior,arts-and-humanities,history
525,Heresy,arts-and-humanities,history
529,Against Interpretation,arts-and-humanities,history
531,Female,arts-and-humanities,history
532,Art Therapy,arts-and-humanities,history
537,Scholar,arts-and-humanities,history
540,Translation Studies,arts-and-humanities,history
545,Denominación De Origen,arts-and-humanities,history
549,Labor,arts-and-humanities,history
550,Demography,arts-and-humanities,history
561,Plantation,arts-and-humanities,history
564,Constitution,arts-and-humanities,history
565,Quoting Out Of Context,arts-and-humanities,history
567,Skepticism,arts-and-humanities,history
569,Supremacism,arts-and-humanities,history
572,Homophobia,arts-and-humanities,history
573,Islamophobia,arts-and-humanities,history
574,Xenophobia,arts-and-humanities,history
577,Hatred,arts-and-humanities,history
578,Area Studies,arts-and-humanities,history
580,Opinion,arts-and-humanities,history
586,Public Opinion,arts-and-humanities,history
587,Gaze,arts-and-humanities,history
593,Listening,arts-and-humanities,history
595,Indirect Self-Reference,arts-and-humanities,history
596,Speech,arts-and-humanities,history
597,Physics Experiments,arts-and-humanities,history
598,Field Recording,arts-and-humanities,history
599,Sound,arts-and-humanities,history
600,Acoustics,arts-and-humanities,history
602,Mathematical Model,arts-and-humanities,history
605,Sound Design,arts-and-humanities,history
614,Machine Learning,arts-and-humanities,history
620,Energy,arts-and-humanities,history
622,Crisis,arts-and-humanities,history
624,Process,arts-and-humanities,history
627,Teaching,arts-and-humanities,history
628,Average,arts-and-humanities,history
630,Emotion,arts-and-humanities,history
632,Cooperation,arts-and-humanities,history
633,State-Space Representation,arts-and-humanities,history
639,Architectural Design,arts-and-humanities,history
640,Masonry,arts-and-humanities,history
643,Bathing,arts-and-humanities,history
645,Wall,arts-and-humanities,history
648,Digital 3D,arts-and-humanities,history
649,Childhood Studies,arts-and-humanities,history
650,Ethnolinguistics,arts-and-humanities,history
651,Environmental Studies,arts-and-humanities,history
653,Media Scholars,arts-and-humanities,history
655,Youth Studies,arts-and-humanities,history
657,Economic Studies,arts-and-humanities,history
659,Offline Learning,arts-and-humanities,history
660,Interactive Learning,arts-and-humanities,history
661,Online Learning Community,arts-and-humanities,history
663,Cross-Cultural Communication,arts-and-humanities,history
664,Communication,arts-and-humanities,history
665,Interpersonal Communication,arts-and-humanities,history
670,Intercultural Communication,arts-and-humanities,history
672,Adaptation,arts-and-humanities,history
673,Game Design,arts-and-humanities,history
675,Determination,arts-and-humanities,history
676,Screenwriting,arts-and-humanities,history
683,Ancient Greece,arts-and-humanities,history
698,Collective Identity,arts-and-humanities,history
700,Economics,arts-and-humanities,history
702,Short Story Writing,arts-and-humanities,history
703,Comedy,arts-and-humanities,history
704,Gena,arts-and-humanities,history
706,Noreen,arts-and-humanities,history
707,Atila,arts-and-humanities,history
708,Cartooning,arts-and-humanities,history
714,Sustainability,arts-and-humanities,history
715,Pride,arts-and-humanities,history
718,Threat,arts-and-humanities,history
719,Ethnoarchaeology,arts-and-humanities,history
720,Digital Preservation,arts-and-humanities,history
721,Museology,arts-and-humanities,history
726,Doctrine,arts-and-humanities,history
729,Immortality,arts-and-humanities,history
733,Witchcraft,arts-and-humanities,history
741,Astrology,arts-and-humanities,history
744,Conscience,arts-and-humanities,history
747,Violence,arts-and-humanities,history
748,Nous,arts-and-humanities,history
749,Ascii Art,arts-and-humanities,history
754,C Dynamic Memory Allocation,arts-and-humanities,history
756,Signified And Signifier,arts-and-humanities,history
758,Security,arts-and-humanities,history
759,Wait (System Call),arts-and-humanities,history
760,Anticipation,arts-and-humanities,history
765,Discrimination,arts-and-humanities,history
767,Feminist History,arts-and-humanities,history
769,The Feminists,arts-and-humanities,history
771,Rape,arts-and-humanities,history
772,Social Justice,arts-and-humanities,history
775,Curiosity,arts-and-humanities,history
794,Vista,arts-and-humanities,history
795,La Operación,arts-and-humanities,history
796,Collaboration,arts-and-humanities,history
804,Historical Method,arts-and-humanities,history
807,Abnormal Psychology,arts-and-humanities,history
810,Algebra,arts-and-humanities,history
813,Stemming,arts-and-humanities,history
817,Drugs,arts-and-humanities,history
818,Power (International Relations),arts-and-humanities,history
819,Ages Of Man,arts-and-humanities,history
829,Global,arts-and-humanities,history
831,India,arts-and-humanities,history
832,Policy Analysis,arts-and-humanities,history
836,General Knowledge,arts-and-humanities,history
840,Organizing (Management),arts-and-humanities,history
844,Eunuch,arts-and-humanities,history
845,Palace,arts-and-humanities,history
846,Palaces,arts-and-humanities,history
847,Luxury Goods,arts-and-humanities,history
849,Forgiveness,arts-and-humanities,history
852,Civilization And Its Discontents,arts-and-humanities,history
853,Language Games,arts-and-humanities,history
857,Playfulness,arts-and-humanities,history
858,Re-Define,arts-and-humanities,history
862,Gabriel García Márquez,arts-and-humanities,history
863,Cabeza,arts-and-humanities,history
867,Empathy,arts-and-humanities,history
868,Awareness,arts-and-humanities,history
875,Dignity,arts-and-humanities,history
876,Charisma,arts-and-humanities,history
883,Spendthrift,arts-and-humanities,history
885,Intuition,arts-and-humanities,history
889,Counseling,arts-and-humanities,history
891,Hypnosis,arts-and-humanities,history
892,Hypnotic Induction,arts-and-humanities,history
893,Chiropractic,arts-and-humanities,history
894,Psychotherapy,arts-and-humanities,history
896,Conceptual Framework,arts-and-humanities,history
897,-Ism,arts-and-humanities,history
899,Political Science,arts-and-humanities,history
903,Public Administration,arts-and-humanities,history
910,Strategy,arts-and-humanities,history
913,Historical Reenactment,arts-and-humanities,history
917,Child,arts-and-humanities,history
919,Multiculturalism,arts-and-humanities,history
922,Intercultural Competence,arts-and-humanities,history
924,Bilingual,arts-and-humanities,history
925,Pedagogy,arts-and-humanities,history
927,Forgetting,arts-and-humanities,history
928,A/Rose,arts-and-humanities,history
931,Anguish,arts-and-humanities,history
938,Prince2,arts-and-humanities,history
939,Patent Medicine,arts-and-humanities,history
940,Metropolis,arts-and-humanities,history
944,Latex,arts-and-humanities,history
945,Landscape Architecture,arts-and-humanities,history
948,English Grammar,arts-and-humanities,music-and-art
949,Essay Writing,arts-and-humanities,music-and-art
950,Academic Writing,arts-and-humanities,music-and-art
951,Planning,arts-and-humanities,music-and-art
952,Creative Writing,arts-and-humanities,music-and-art
953,Writing,arts-and-humanities,music-and-art
954,English Language,arts-and-humanities,music-and-art
955,Grammar,arts-and-humanities,music-and-art
956,Language,arts-and-humanities,music-and-art
957,Linguistics,arts-and-humanities,music-and-art
963,Sources,arts-and-humanities,music-and-art
966,Formal Language,arts-and-humanities,music-and-art
967,Note Taking,arts-and-humanities,music-and-art
968,Adobe Photoshop,arts-and-humanities,music-and-art
969,Game Design,arts-and-humanities,music-and-art
970,Pixel Art,arts-and-humanities,music-and-art
971,Video Game Development,arts-and-humanities,music-and-art
972,3D Computer Graphics,arts-and-humanities,music-and-art
973,3D Modeling,arts-and-humanities,music-and-art
974,Zbrush,arts-and-humanities,music-and-art
975,Color Theory,arts-and-humanities,music-and-art
976,Pixel,arts-and-humanities,music-and-art
977,Art,arts-and-humanities,music-and-art
978,Rockbox,arts-and-humanities,music-and-art
980,Mod (Video Gaming),arts-and-humanities,music-and-art
982,Low Poly,arts-and-humanities,music-and-art
985,Game Engine,arts-and-humanities,music-and-art
986,Game Mechanics,arts-and-humanities,music-and-art
987,Redos,arts-and-humanities,music-and-art
988,Subdivision Surface,arts-and-humanities,music-and-art
990,Polygon Mesh,arts-and-humanities,music-and-art
991,Baking,arts-and-humanities,music-and-art
992,High-Resolution Scheme,arts-and-humanities,music-and-art
994,Box Modeling,arts-and-humanities,music-and-art
995,Uv Mapping,arts-and-humanities,music-and-art
997,Modeling,arts-and-humanities,music-and-art
998,Framing,arts-and-humanities,music-and-art
999,Asset,arts-and-humanities,music-and-art
1000,3D Graphics Software,arts-and-humanities,music-and-art
1001,Computer-Aided Design,arts-and-humanities,music-and-art
1002,Sketchup,arts-and-humanities,music-and-art
1005,Computer Graphics,arts-and-humanities,music-and-art
1006,Film,arts-and-humanities,music-and-art
1008,Credibility,arts-and-humanities,music-and-art
1009,News Writing,arts-and-humanities,music-and-art
1010,Ethics,arts-and-humanities,music-and-art
1011,News,arts-and-humanities,music-and-art
1012,Social Media,arts-and-humanities,music-and-art
1013,Photojournalism,arts-and-humanities,music-and-art
1014,News Reporting,arts-and-humanities,music-and-art
1015,Journalism,arts-and-humanities,music-and-art
1017,Network News Transfer Protocol,arts-and-humanities,music-and-art
1020,Ordered Pair,arts-and-humanities,music-and-art
1021,Interview,arts-and-humanities,music-and-art
1024,Environmental Journalism,arts-and-humanities,music-and-art
1025,Resource,arts-and-humanities,music-and-art
1027,Digital Journalism,arts-and-humanities,music-and-art
1030,Audience,arts-and-humanities,music-and-art
1031,Compiler,arts-and-humanities,music-and-art
1032,Securities Research,arts-and-humanities,music-and-art
1033,Video Production,arts-and-humanities,music-and-art
1034,Multimedia,arts-and-humanities,music-and-art
1035,Photography,arts-and-humanities,music-and-art
1038,Self-Interest,arts-and-humanities,music-and-art
1042,Broadcast,arts-and-humanities,music-and-art
1045,Mass Communication,arts-and-humanities,music-and-art
1047,Usn Journal,arts-and-humanities,music-and-art
1050,Experience,arts-and-humanities,music-and-art
1051,Opinion,arts-and-humanities,music-and-art
1054,Quality Control,arts-and-humanities,music-and-art
1057,Process,arts-and-humanities,music-and-art
1058,Storytelling,arts-and-humanities,music-and-art
1059,Fiction Writing,arts-and-humanities,music-and-art
1060,Creativity,arts-and-humanities,music-and-art
1062,Short Story Writing,arts-and-humanities,music-and-art
1063,Human Learning,arts-and-humanities,music-and-art
1064,Editing,arts-and-humanities,music-and-art
1066,Thought,arts-and-humanities,music-and-art
1069,Dialogue,arts-and-humanities,music-and-art
1072,Pov-Ray,arts-and-humanities,music-and-art
1074,Observation,arts-and-humanities,music-and-art
1079,Copywriting,arts-and-humanities,music-and-art
1082,Poetry Writing,arts-and-humanities,music-and-art
1085,Screenwriting,arts-and-humanities,music-and-art
1086,Concreteness,arts-and-humanities,music-and-art
1087,Speech,arts-and-humanities,music-and-art
1089,Shopped,arts-and-humanities,music-and-art
1097,First Draft Of A Report On The Edvac,arts-and-humanities,music-and-art
1100,Evaluation,arts-and-humanities,music-and-art
1104,Debriefing,arts-and-humanities,music-and-art
1106,Harmony,arts-and-humanities,music-and-art
1107,Music,arts-and-humanities,music-and-art
1108,Training,arts-and-humanities,music-and-art
1109,Chord,arts-and-humanities,music-and-art
1110,Scaling,arts-and-humanities,music-and-art
1111,Jazz,arts-and-humanities,music-and-art
1112,Gauss Markov Theorem,arts-and-humanities,music-and-art
1113,Piano,arts-and-humanities,music-and-art
1120,G-Code,arts-and-humanities,music-and-art
1122,Chart,arts-and-humanities,music-and-art
1127,Audio Recording,arts-and-humanities,music-and-art
1128,List Of Dns Record Types,arts-and-humanities,music-and-art
1129,Euler'S Totient Function,arts-and-humanities,music-and-art
1132,Sleep Mode,arts-and-humanities,music-and-art
1134,Instrumentation (Computer Programming),arts-and-humanities,music-and-art
1141,Project,arts-and-humanities,music-and-art
1142,Relative Change And Difference,arts-and-humanities,music-and-art
1149,H.E.A.R.,arts-and-humanities,music-and-art
1151,Personal Advertisement,arts-and-humanities,music-and-art
1152,Scalable Vector Graphics,arts-and-humanities,music-and-art
1153,Sound,arts-and-humanities,music-and-art
1156,Sound Design,arts-and-humanities,music-and-art
1157,Listening,arts-and-humanities,music-and-art
1158,Microsoft Visual Studio,arts-and-humanities,music-and-art
1159,Cabling,arts-and-humanities,music-and-art
1160,Signal Processing,arts-and-humanities,music-and-art
1162,Uan,arts-and-humanities,music-and-art
1164,Joie De Vivre,arts-and-humanities,music-and-art
1165,Vista,arts-and-humanities,music-and-art
1167,Cmos,arts-and-humanities,music-and-art
1168,Analysis,arts-and-humanities,music-and-art
1171,Cabeza,arts-and-humanities,music-and-art
1172,Denominación De Origen,arts-and-humanities,music-and-art
1173,Gustave Le Bon,arts-and-humanities,music-and-art
1174,Electronic Music,arts-and-humanities,music-and-art
1178,Audio Production,arts-and-humanities,music-and-art
1179,Audio Editing,arts-and-humanities,music-and-art
1180,Ableton,arts-and-humanities,music-and-art
1181,Guitar,arts-and-humanities,music-and-art
1182,Electronics,arts-and-humanities,music-and-art
1183,Microphone,arts-and-humanities,music-and-art
1185,Arts And Humanities,arts-and-humanities,music-and-art
1189,Video Editing,arts-and-humanities,music-and-art
1203,U.S. Securities And Exchange Commission,arts-and-humanities,music-and-art
1205,Gnu Octave,arts-and-humanities,music-and-art
1206,Scrolling,arts-and-humanities,music-and-art
1212,Performance,arts-and-humanities,music-and-art
1214,Balance (Game Design),arts-and-humanities,music-and-art
1216,Game Testing,arts-and-humanities,music-and-art
1218,Documents,arts-and-humanities,music-and-art
1219,Video Game Design,arts-and-humanities,music-and-art
1220,Game Design Document,arts-and-humanities,music-and-art
1221,Software Design Description,arts-and-humanities,music-and-art
1222,Gameplay,arts-and-humanities,music-and-art
1227,Interactivity,arts-and-humanities,music-and-art
1232,Interactive Storytelling,arts-and-humanities,music-and-art
1235,Computer Animation,arts-and-humanities,music-and-art
1236,Level Design,arts-and-humanities,music-and-art
1239,Possible World,arts-and-humanities,music-and-art
1240,Graphic Design,arts-and-humanities,music-and-art
1241,Virtual Reality,arts-and-humanities,music-and-art
1242,Volume Mesh,arts-and-humanities,music-and-art
1246,Traditional Animation,arts-and-humanities,music-and-art
1247,I-Deas,arts-and-humanities,music-and-art
1250,Adobe Animate,arts-and-humanities,music-and-art
1251,Funkos,arts-and-humanities,music-and-art
1259,Upload,arts-and-humanities,music-and-art
1261,Continuations,arts-and-humanities,music-and-art
1262,Game Integrated Development Environment,arts-and-humanities,music-and-art
1267,Design Thinking,arts-and-humanities,music-and-art
1270,Design Pattern,arts-and-humanities,music-and-art
1271,Graphic Arts,arts-and-humanities,music-and-art
1273,Typography,arts-and-humanities,music-and-art
1274,Poster Design,arts-and-humanities,music-and-art
1277,Adobe Indesign,arts-and-humanities,music-and-art
1278,History,arts-and-humanities,music-and-art
1279,Layout Design,arts-and-humanities,music-and-art
1282,Poster,arts-and-humanities,music-and-art
1285,Iteration,arts-and-humanities,music-and-art
1286,Booking,arts-and-humanities,music-and-art
1287,Book Design,arts-and-humanities,music-and-art
1294,Brand Identity,arts-and-humanities,music-and-art
1297,Logos,arts-and-humanities,music-and-art
1301,Illustration,arts-and-humanities,music-and-art
1303,Brand,arts-and-humanities,music-and-art
1310,Acoustics,arts-and-humanities,music-and-art
1312,Human Voice,arts-and-humanities,music-and-art
1315,Average,arts-and-humanities,music-and-art
1317,Strategy,arts-and-humanities,music-and-art
1324,Grasp,arts-and-humanities,music-and-art
1330,.Bit,arts-and-humanities,music-and-art
1331,Exercise,arts-and-humanities,music-and-art
1332,At-Will Employment,arts-and-humanities,music-and-art
1334,Mind Body Problem,arts-and-humanities,music-and-art
1336,Legato,arts-and-humanities,music-and-art
1340,Gigging,arts-and-humanities,music-and-art
1344,Affordance,arts-and-humanities,music-and-art
1353,Egg,arts-and-humanities,music-and-art
1356,Maximization (Psychology),arts-and-humanities,music-and-art
1357,Dialog Box,arts-and-humanities,music-and-art
1366,Art History,arts-and-humanities,music-and-art
1371,Chemistry,arts-and-humanities,music-and-art
1373,Comfort,arts-and-humanities,music-and-art
1380,Art Therapy,arts-and-humanities,music-and-art
1381,Sound Bite,arts-and-humanities,music-and-art
1384,Critical Thinking,arts-and-humanities,music-and-art
1392,Criticism,arts-and-humanities,music-and-art
1393,Art Direction,arts-and-humanities,music-and-art
1402,Photo Essays,arts-and-humanities,music-and-art
1407,Abuse Of Power,arts-and-humanities,music-and-art
1408,Internet,arts-and-humanities,music-and-art
1409,Visual Arts,arts-and-humanities,music-and-art
1414,Sustainability,arts-and-humanities,music-and-art
1419,Design And Product,arts-and-humanities,music-and-art
1421,Culture,arts-and-humanities,music-and-art
1424,Law,arts-and-humanities,music-and-art
1425,Entertainment Law,arts-and-humanities,music-and-art
1426,Provisioning,arts-and-humanities,music-and-art
1427,Leadership And Management,arts-and-humanities,music-and-art
1431,Leadership,arts-and-humanities,music-and-art
1433,Year 2000 Problem,arts-and-humanities,music-and-art
1434,Business Partner,arts-and-humanities,music-and-art
1437,Intuition,arts-and-humanities,music-and-art
1438,Likelihood Function,arts-and-humanities,music-and-art
1439,Partnership,arts-and-humanities,music-and-art
1440,Fan-In,arts-and-humanities,music-and-art
1442,Funds,arts-and-humanities,music-and-art
1443,Career,arts-and-humanities,music-and-art
1445,Lingoes,arts-and-humanities,music-and-art
1452,Jazz Improvisation,arts-and-humanities,music-and-art
1455,Demos,arts-and-humanities,music-and-art
1458,Emotions,arts-and-humanities,music-and-art
1462,Mid-Range,arts-and-humanities,music-and-art
1469,Signature,arts-and-humanities,music-and-art
1502,Audio Engineering,arts-and-humanities,music-and-art
