,Skill,Count,Percent
617,Google Analytics,40,0.76
299,Computer Vision,40,0.76
1507,Web Application Development,40,0.76
708,Inside Sales,40,0.76
83,Apparel,39,0.74
63,Android,39,0.74
1158,Radio,39,0.74
1378,System Analysis,39,0.74
1449,Uncertainty,38,0.72
1499,Vulnerability,38,0.72
1506,Web Application,38,0.72
669,ISO 9001,38,0.72
254,Cloud Technology,38,0.72
434,Differentiation,38,0.72
1031,Pharmacy,38,0.72
887,Microsoft Publisher,38,0.72
96,Arithmetic,37,0.7
1361,Streaming,37,0.7
1377,System Administration,37,0.7
1009,Patient Care,37,0.7
1184,Regression,37,0.7
331,Continuous Integration (CI),37,0.7
519,Environmental Engineering,37,0.7
395,Data Structure,37,0.7
251,Cloud Platform,37,0.7
855,Mechanics,36,0.68
792,Linux,36,0.68
1354,Storage Management,35,0.67
45,Airlines,35,0.67
1446,UI Design,35,0.67
316,Conflict Management,35,0.67
584,Fraction,35,0.67
375,Data Gathering,35,0.67
915,Music,35,0.67
1380,Systems Management,35,0.67
1200,Requirement Analysis,34,0.65
1178,Recreation,34,0.65
98,Art History,34,0.65
38,Agile Methodology,34,0.65
1357,Storytelling,34,0.65
1116,Property Management,34,0.65
1122,Psychology,33,0.63
493,Email Management,33,0.63
9,Account Receivable,33,0.63
1432,Tracking System,33,0.63
628,Graph,33,0.63
1035,Photography,33,0.63
1395,Technical Documentation,32,0.61
1534,Youtube,32,0.61
1092,Product Lifecycle Management (PLM),32,0.61
1389,Task Management,32,0.61
191,Business Intelligence Tool,32,0.61
1371,Support Engineering,32,0.61
561,Financial Modelling,32,0.61
523,Environmental Science,32,0.61
43,Agriculture,31,0.59
172,Budget Planning,31,0.59
1305,Software Architecture,31,0.59
1539,iOS,31,0.59
945,Newsletters,31,0.59
320,Construction Law,30,0.57
1124,Public Administration,30,0.57
1332,Source Control,30,0.57
921,Natural Language Processing (NLP),30,0.57
272,Commodity,30,0.57
100,Arts,30,0.57
327,Content Management System (CMS),30,0.57
658,Hydrology,29,0.55
368,Data Acquisition,29,0.55
1132,Public Speaking,29,0.55
739,Investment Banking,29,0.55
1250,Scheme,29,0.55
727,International Trade,29,0.55
1065,Predictive Analytics,29,0.55
776,Lead Generation,28,0.53
13,Accounts Payable,28,0.53
929,Network Architecture,28,0.53
1310,Software Development Kit (SDK),28,0.53
1488,Virtual Reality (VR),28,0.53
1155,RStudio,28,0.53
1318,Software Package,28,0.53
971,Online Marketing,27,0.51
1044,Plastics,27,0.51
764,Korean,27,0.51
330,Continuous Delivery (CD),27,0.51
1243,Sampling,27,0.51
206,C++,27,0.51
917,NP Completeness,27,0.51
371,Data Architecture,27,0.51
388,Data Reporting,26,0.49
130,Balance Sheet,26,0.49
6,Access Control,26,0.49
474,Editing,26,0.49
300,Computer Worm,26,0.49
793,Literature,26,0.49
979,Operations Research,26,0.49
1277,Sequence,26,0.49
1352,Statistical Modelling,26,0.49
994,Outsourcing,26,0.49
156,Biotechnology,26,0.49
112,Augmented Reality (AR),26,0.49
34,Aesthetics,26,0.49
1075,Private Equity,25,0.48
67,Annual Report,25,0.48
585,Free Hand,25,0.48
1421,Therapy,25,0.48
1197,Report Analysis,25,0.48
1257,Scripting,25,0.48
1171,Real Property,25,0.48
124,Autoregressive (AR) Model,24,0.46
1003,Part-of-speech (POS) Tagging,24,0.46
126,Azure Machine Learning,24,0.46
544,Facebook Ads,24,0.46
1049,Point of Sale (POS) Software,24,0.46
692,Informatics,24,0.46
1385,Talent Management,24,0.46
1255,Scorecard,24,0.46
1375,Swift,24,0.46
1191,Reliability Engineering,24,0.46
210,Calculus,24,0.46
1344,Spring,24,0.46
1229,SAS,24,0.46
1237,Sales Leadership,24,0.46
1518,Welding,24,0.46
1098,Production Set,23,0.44
1039,Physical Science,23,0.44
1084,Process Model,23,0.44
1362,Structural Engineering,23,0.44
1137,QA Testing,23,0.44
539,Extract Transform Load (ETL),23,0.44
123,Autonomous Vehicle,23,0.44
1423,Thermodynamics,23,0.44
810,Machining,23,0.44
293,Computer Hardware,23,0.44
385,Data Presentation,23,0.44
386,Data Privacy,23,0.44
763,Knowledge Management,23,0.44
1066,Predictive Model,23,0.44
263,Cognitive,23,0.44
1462,User Experience Design,22,0.42
754,Journalism,22,0.42
410,Debugging,22,0.42
1019,Performing Art,22,0.42
1087,Processor,22,0.42
573,Fluid Mechanics,22,0.42
931,Network Management,22,0.42
1189,Relational Database,22,0.42
169,Brave,22,0.42
1387,Target Audience,22,0.42
15,Active Listening,22,0.42
400,Database Administration,21,0.4
969,Oncology,21,0.4
546,Facilities Engineering,21,0.4
616,Google Ads,21,0.4
383,Data Pipeline,21,0.4
968,Oil and Gas,21,0.4
160,Bond,21,0.4
525,Epic,21,0.4
703,Information and Communications Technology (ICT),21,0.4
480,Electrical Socket,21,0.4
459,Earned Value Management (EVM),21,0.4
747,JavaScript,21,0.4
352,Crisis Management,20,0.38
202,Business Writing,20,0.38
1076,Probability,20,0.38
1512,Web Development,20,0.38
1287,Sketch,20,0.38
216,Capital Budgeting,20,0.38
1322,Software Stack,20,0.38
86,Application Security,20,0.38
846,Materials Science,20,0.38
780,Legal Management,20,0.38
1403,Television,20,0.38
818,Management Accounting,19,0.36
870,Metrology,19,0.36
227,Certified Information Systems Security Professional (CISSP),19,0.36
956,Nutrition,19,0.36
1267,Securities,19,0.36
1540,iland,19,0.36
1043,Pivot Table,19,0.36
1281,Shell,19,0.36
1165,Rapid Application Development,19,0.36
340,Cookies,19,0.36
346,Correlation,19,0.36
183,Business Continuity Planning,19,0.36
1454,Unix,19,0.36
512,Enterprise System,19,0.36
867,Meteorology,19,0.36
1505,Web Analytics,18,0.34
845,Materials Management,18,0.34
307,Computing Platform,18,0.34
1343,Sports Engineering,18,0.34
1450,Underwriting,18,0.34
1149,Quantitative Research,18,0.34
390,Data Science Tool,18,0.34
425,Design Analysis,18,0.34
497,Emotional Intelligence (EQ),18,0.34
503,Energy Consumption,18,0.34
517,Environmental Consulting,18,0.34
1025,Persuasion,18,0.34
430,Development Management,18,0.34
1040,Physical Security,18,0.34
924,Needs Analysis,17,0.32
1296,Social Media Platform,17,0.32
1194,Rent,17,0.32
185,Business Economics,17,0.32
347,Cost Accounting,17,0.32
30,Advertising Management,17,0.32
1209,Revenue Recognition,17,0.32
635,Growth Strategy,17,0.32
209,CVS,17,0.32
949,Node.js,17,0.32
435,Digital Art,17,0.32
1468,Value Stream Mapping,17,0.32
1441,Tree,17,0.32
344,Corporate Communication,17,0.32
266,Cold Calling,17,0.32
1283,Shopify,17,0.32
1101,Profiling,17,0.32
1096,Product Testing,17,0.32
1177,Records Management,16,0.3
1079,Problem Management,16,0.3
1538,eCommerce Platforms,16,0.3
1193,Rendering,16,0.3
532,Event Planning,16,0.3
237,Cisco Certified Network Associate (CCNA),16,0.3
1470,Variance Analysis,16,0.3
688,Inference,16,0.3
1467,VOIP,16,0.3
1129,Public Policy,16,0.3
1107,Project Chart,16,0.3
807,Machine Learning Algorithm,16,0.3
667,ISO 13485,16,0.3
465,Economic Development,16,0.3
522,Environmental Planning,16,0.3
521,Environmental Law,16,0.3
560,Financial Market,16,0.3
598,Generally Accepeted Accounting Principles (GAAP),16,0.3
605,Geography,16,0.3
942,Neural Network,16,0.3
47,Algebra,15,0.29
158,Blockchain,15,0.29
516,Entrepreneurship,15,0.29
1115,Property Maintenance,15,0.29
888,Microsoft SQL Server,15,0.29
475,Editor,15,0.29
1224,Ruby on Rails,15,0.29
356,Currency,15,0.29
740,Investment Management,15,0.29
348,Cost-benefit Analysis,15,0.29
1398,Technology Management,15,0.29
889,Microsoft SQL Servers,15,0.29
625,Google Workspace,15,0.29
326,Content Management,15,0.29
970,Online Business,15,0.29
329,Content Strategy,15,0.29
1027,Pharmaceutics,15,0.29
1091,Product Liability,15,0.29
719,Interior Design,14,0.27
1289,Slack,14,0.27
720,International Business,14,0.27
981,Opportunity Cost,14,0.27
258,Clustering,14,0.27
411,Decimal,14,0.27
1285,Signal Processing,14,0.27
1536,Zoom,14,0.27
404,Database Management System,14,0.27
1355,Storage System,14,0.27
578,Foreign Language,14,0.27
1426,Time Series,14,0.27
1263,Search Engine Optimization (SEO),14,0.27
607,Geometry,14,0.27
535,Exploit,14,0.27
619,Google Cloud Platform (GCP),14,0.27
796,Localization,14,0.27
837,Marketing Channel,14,0.27
941,Neural Engineering,13,0.25
64,Angular,13,0.25
604,Geographic Information System (GIS),13,0.25
586,French,13,0.25
405,Database System,13,0.25
840,Marketing Design,13,0.25
1502,Water Engineering,13,0.25
90,Applied Statistics,13,0.25
113,Authentication,13,0.25
1284,Shortage,13,0.25
222,Casino,13,0.25
1330,Sorting,13,0.25
772,Language Learning,13,0.25
276,Communications Management,13,0.25
372,Data Capture,13,0.25
464,Economic Analysis,13,0.25
770,Landscape Architecture,13,0.25
803,MATLAB,13,0.25
164,Border Gateway Protocol (BGP),13,0.25
1474,Venture Capital (VC),13,0.25
1458,Urban Planning,13,0.25
1060,Power Systems Engineering,12,0.23
1543,macOS,12,0.23
1118,Property Management System,12,0.23
1059,Power Management,12,0.23
1475,Verification And Validation,12,0.23
1522,Wireless LAN,12,0.23
955,Nursing,12,0.23
1220,Route Management,12,0.23
836,Marketing Analytics,12,0.23
1047,Platform as a Service (PaaS),12,0.23
1485,Virtual Machine,12,0.23
1473,Venture Capiral,12,0.23
1448,UX Research,12,0.23
1546,vSphere,12,0.23
612,Github,12,0.23
294,Computer Programming,12,0.23
452,Domain Name System (DNS),12,0.23
232,Chef,12,0.23
668,ISO 9000,12,0.23
351,Credit Risk,12,0.23
308,Computing Technology,12,0.23
155,Biostatistics,12,0.23
501,Encryption,12,0.23
665,IP Addressing,12,0.23
223,Casting,12,0.23
174,Build Automation,12,0.23
257,Cluster Analysis,12,0.23
360,Customer Service System,12,0.23
416,Decision Tree,12,0.23
1315,Software Maintenance,11,0.21
1453,Unity,11,0.21
1258,Scripting Language,11,0.21
844,Materials Engineering,11,0.21
800,Logistic Regression,11,0.21
656,Human-Computer Interaction (HCI),11,0.21
1216,Robot,11,0.21
590,GUI Design,11,0.21
1260,Scrum Methodology,11,0.21
11,Accounting Software,11,0.21
422,Derivative,11,0.21
444,Distributed Computing,11,0.21
1106,Programming Tool,11,0.21
402,Database Design,11,0.21
91,Approximation,11,0.21
336,Control Engineering,11,0.21
328,Content Marketing,11,0.21
1324,Software Testing,11,0.21
595,Gantt Chart,11,0.21
997,PL,11,0.21
1000,Pandas,11,0.21
220,Cascading Style Sheet (CSS),11,0.21
214,Capacity Management,11,0.21
574,Food Production,11,0.21
705,Infrastructure as a Service (IaaS),11,0.21
602,Genomics,11,0.21
862,Mergers and Acquisitions (M&A),11,0.21
856,Mechatronics,11,0.21
975,Opera,10,0.19
977,Operational Databases,10,0.19
1294,Social Media Management,10,0.19
302,Computer-Aided Manufacturing (CAM),10,0.19
373,Data Cleansing,10,0.19
1270,Security Management,10,0.19
814,Malay,10,0.19
529,Ethernet,10,0.19
1388,Task Delegation,10,0.19
457,DynamoDB,10,0.19
1269,Security Engineering,10,0.19
893,Middleware,10,0.19
1424,TikTok,10,0.19
1370,Supply and Demand,10,0.19
882,Microsoft Office 365,10,0.19
396,Data Transmission,10,0.19
384,Data Preparation,10,0.19
1005,Password,10,0.19
205,C#,10,0.19
1452,Unit Cost,10,0.19
127,B2B Marketing,10,0.19
766,Kubernetes,10,0.19
282,Complex Analysis,10,0.19
620,Google Docs,10,0.19
913,Multi-Factor Authentication,10,0.19
279,Competitive Strategy,10,0.19
558,Financial Engineering,10,0.19
52,Amazon EC2,10,0.19
153,Biomaterials Engineering,10,0.19
615,Goods and Services,10,0.19
1052,Political Science,10,0.19
896,Mining Engineering,10,0.19
682,Industrial Automation,10,0.19
1321,Software Requirement,10,0.19
936,Network Service,10,0.19
1527,Working Capital,10,0.19
231,Chatbot,10,0.19
406,Databricks,10,0.19
690,Inflation,10,0.19
696,Information Science,9,0.17
681,Induction,9,0.17
804,MLFlow,9,0.17
269,Commercial Banking,9,0.17
580,Forestry,9,0.17
632,Graphics Processing Unit (GPU),9,0.17
309,Concurrency,9,0.17
630,Graphic Design,9,0.17
822,Managerial Finance,9,0.17
741,Investor Relations,9,0.17
1028,Pharmacodynamics (PD),9,0.17
1230,SAS Statistical Analysis,9,0.17
1374,Sustainable Development,9,0.17
965,Office Administration,9,0.17
494,Email Marketing,9,0.17
623,Google Sheets,9,0.17
154,Biomedical Engineering,9,0.17
463,Econometrics,9,0.17
1012,Payment Processing,9,0.17
50,Algorithm Design,9,0.17
483,Electromechanics,9,0.17
548,Factoring,9,0.17
323,Consumer Privacy,9,0.17
1440,Transportation Engineering,9,0.17
959,Object-Oriented Design,9,0.17
229,Channel Marketing,9,0.17
1477,Version Control,9,0.17
53,Amazon EMR,9,0.17
305,Computer-aided Design,9,0.17
148,Biochemistry,9,0.17
161,Bookkeeping,9,0.17
437,Digital Image,9,0.17
922,Natural Language Understanding,9,0.17
563,Financial Risk,9,0.17
182,Business Consulting,9,0.17
781,Legal Service,9,0.17
1050,Policy Analysis,9,0.17
208,CMM,9,0.17
594,Gamification,8,0.15
1245,Scala,8,0.15
175,Build Tool,8,0.15
1246,Scaled Agile Framework (SAFe),8,0.15
1111,Prolog,8,0.15
421,Dependability,8,0.15
249,Cloud Application,8,0.15
841,Marketing Management,8,0.15
176,Building Science,8,0.15
1016,Performance Engineering,8,0.15
1150,Query Language,8,0.15
901,Mobile Marketing,8,0.15
717,Interaction Design,8,0.15
1533,Yardi,8,0.15
253,Cloud Storage,8,0.15
1300,Socioeconomics,8,0.15
1100,Professional Training,8,0.15
1223,Ruby,8,0.15
1358,Strategic Management,8,0.15
190,Business Intelligence Testing,8,0.15
1235,Safety Engineering,8,0.15
1163,Random Testing,8,0.15
518,Environmental Economics,8,0.15
1339,Speech Recognition,8,0.15
436,Digital Communication,8,0.15
659,HyperText Markup Language (HTML),8,0.15
815,Malware,8,0.15
1523,Wireless Network,8,0.15
1521,Wireframing,8,0.15
68,Anomaly Detection,8,0.15
918,Nanotechnology,8,0.15
345,Corporate Finance,8,0.15
661,Hypothesis Testing,8,0.15
1074,Privacy Law,7,0.13
990,Organizational Chart,7,0.13
751,Jin Chinese,7,0.13
995,PHP,7,0.13
150,Bioinformatics,7,0.13
1438,Transmission Control Protocol (TCP),7,0.13
1262,Search Engine Marketing (SEM),7,0.13
21,Adminitrative Assistance,7,0.13
392,Data Sharing,7,0.13
22,Adobe Acrobat,7,0.13
675,Immunology,7,0.13
919,National Accounts,7,0.13
872,Microbiology,7,0.13
966,Office Management,7,0.13
75,Apache Hadoop,7,0.13
744,JMP,7,0.13
271,Commercial Management,7,0.13
948,NoSQL,7,0.13
33,Aerospace Engineering,7,0.13
650,Horticulture,7,0.13
102,Asana,7,0.13
239,Civics,7,0.13
611,Git,7,0.13
378,Data Manipulation,7,0.13
762,Know Your Customer (KYC),7,0.13
1350,Statistical Data Analysis,7,0.13
1464,User Interface Design,7,0.13
401,Database Application,7,0.13
541,Extreme Programming (XP),7,0.13
462,Ecology,7,0.13
1405,Temporal Difference (TD) Learning,7,0.13
134,Bar Chart,7,0.13
4,3D Segmentation,7,0.13
1053,Politics,7,0.13
77,Apache Kafka,7,0.13
750,Jenkins,7,0.13
911,Motion Control,7,0.13
203,Buyer Engagement,7,0.13
506,Engineering Physics,7,0.13
1410,Territory Management,7,0.13
387,Data Privacy Law,7,0.13
691,Infographics,7,0.13
582,Formatting,7,0.13
496,Embedded System,7,0.13
774,Law Practice,7,0.13
1166,Rapport Building,6,0.11
961,Object-Relational Mapping (ORM),6,0.11
564,Financial Risk Management,6,0.11
108,Atlassian,6,0.11
946,Newspapers,6,0.11
905,Molecular Biology,6,0.11
562,Financial Regulation,6,0.11
311,Conda,6,0.11
1400,Telecommunications Engineering,6,0.11
934,Network Routing,6,0.11
27,Adobe SiteCatalyst,6,0.11
557,Financial Accounting,6,0.11
631,Graphical User Interface (GUI),6,0.11
238,Cisco Router,6,0.11
458,E Charts,6,0.11
218,Carpentry,6,0.11
1072,Printed Circuit Board,6,0.11
1082,Process Control System,6,0.11
470,Economic Statistics,6,0.11
1525,WordPress,6,0.11
1494,Visual Communication,6,0.11
1528,World Wide Web (WWW),6,0.11
891,Microsoft Visio,6,0.11
66,Animation,6,0.11
1126,Public Finance,6,0.11
197,Business Process Modelling,6,0.11
524,Environmental Technology,6,0.11
533,Events Services,6,0.11
636,H2O,6,0.11
749,Jelastic,6,0.11
341,Cooking,6,0.11
1099,Professional Sports,6,0.11
147,Big Data Tool,6,0.11
413,Decision Process,6,0.11
1013,Payroll Services,6,0.11
482,Electromagnetism,6,0.11
287,Computational Linguistics,6,0.11
226,Certified Information Systems Auditor (CISA),6,0.11
1445,Typography,6,0.11
1175,Recommendation System,6,0.11
70,Anthropology,6,0.11
380,Data Mapping,6,0.11
173,Budget Set,5,0.1
960,Object-Oriented Programming (OOP),5,0.1
1320,Software Quality Assurance (SQA),5,0.1
362,D3.js,5,0.1
1302,Soft Computing,5,0.1
